"TIME","GEO","AGE","SEX","UNIT","Value","Flag and Footnotes"
"2018","United Kingdom","Less than 1 year","Males","Number","393,790",""
"2018","United Kingdom","Less than 1 year","Females","Number","374,641",""
"2018","United Kingdom","1 year","Males","Number","398,727",""
"2018","United Kingdom","1 year","Females","Number","379,103",""
"2018","United Kingdom","2 years","Males","Number","406,573",""
"2018","United Kingdom","2 years","Females","Number","385,855",""
"2018","United Kingdom","3 years","Males","Number","409,310",""
"2018","United Kingdom","3 years","Females","Number","388,989",""
"2018","United Kingdom","4 years","Males","Number","415,978",""
"2018","United Kingdom","4 years","Females","Number","395,788",""
"2018","United Kingdom","5 years","Males","Number","427,203",""
"2018","United Kingdom","5 years","Females","Number","406,908",""
"2018","United Kingdom","6 years","Males","Number","430,389",""
"2018","United Kingdom","6 years","Females","Number","410,473",""
"2018","United Kingdom","7 years","Males","Number","422,781",""
"2018","United Kingdom","7 years","Females","Number","403,564",""
"2018","United Kingdom","8 years","Males","Number","416,323",""
"2018","United Kingdom","8 years","Females","Number","397,343",""
"2018","United Kingdom","9 years","Males","Number","415,823",""
"2018","United Kingdom","9 years","Females","Number","396,327",""
"2018","United Kingdom","10 years","Males","Number","410,969",""
"2018","United Kingdom","10 years","Females","Number","390,684",""
"2018","United Kingdom","11 years","Males","Number","399,829",""
"2018","United Kingdom","11 years","Females","Number","380,296",""
"2018","United Kingdom","12 years","Males","Number","387,775",""
"2018","United Kingdom","12 years","Females","Number","369,664",""
"2018","United Kingdom","13 years","Males","Number","377,039",""
"2018","United Kingdom","13 years","Females","Number","359,307",""
"2018","United Kingdom","14 years","Males","Number","369,015",""
"2018","United Kingdom","14 years","Females","Number","351,083",""
"2018","United Kingdom","15 years","Males","Number","361,504",""
"2018","United Kingdom","15 years","Females","Number","343,360",""
"2018","United Kingdom","16 years","Males","Number","363,778",""
"2018","United Kingdom","16 years","Females","Number","345,865",""
"2018","United Kingdom","17 years","Males","Number","375,095",""
"2018","United Kingdom","17 years","Females","Number","355,215",""
"2018","United Kingdom","18 years","Males","Number","388,073",""
"2018","United Kingdom","18 years","Females","Number","366,682",""
"2018","United Kingdom","19 years","Males","Number","400,283",""
"2018","United Kingdom","19 years","Females","Number","378,997",""
"2018","United Kingdom","20 years","Males","Number","413,480",""
"2018","United Kingdom","20 years","Females","Number","392,363",""
"2018","United Kingdom","21 years","Males","Number","425,493",""
"2018","United Kingdom","21 years","Females","Number","400,740",""
"2018","United Kingdom","22 years","Males","Number","429,678",""
"2018","United Kingdom","22 years","Females","Number","404,591",""
"2018","United Kingdom","23 years","Males","Number","438,590",""
"2018","United Kingdom","23 years","Females","Number","415,671",""
"2018","United Kingdom","24 years","Males","Number","446,496",""
"2018","United Kingdom","24 years","Females","Number","427,569",""
"2018","United Kingdom","25 years","Males","Number","452,704",""
"2018","United Kingdom","25 years","Females","Number","440,215",""
"2018","United Kingdom","26 years","Males","Number","464,906",""
"2018","United Kingdom","26 years","Females","Number","452,155",""
"2018","United Kingdom","27 years","Males","Number","468,289",""
"2018","United Kingdom","27 years","Females","Number","451,287",""
"2018","United Kingdom","28 years","Males","Number","459,592",""
"2018","United Kingdom","28 years","Females","Number","447,879",""
"2018","United Kingdom","29 years","Males","Number","455,824",""
"2018","United Kingdom","29 years","Females","Number","451,847",""
"2018","United Kingdom","30 years","Males","Number","448,689",""
"2018","United Kingdom","30 years","Females","Number","451,690",""
"2018","United Kingdom","31 years","Males","Number","445,166",""
"2018","United Kingdom","31 years","Females","Number","447,307",""
"2018","United Kingdom","32 years","Males","Number","448,488",""
"2018","United Kingdom","32 years","Females","Number","446,678",""
"2018","United Kingdom","33 years","Males","Number","441,572",""
"2018","United Kingdom","33 years","Females","Number","442,550",""
"2018","United Kingdom","34 years","Males","Number","435,770",""
"2018","United Kingdom","34 years","Females","Number","440,133",""
"2018","United Kingdom","35 years","Males","Number","435,377",""
"2018","United Kingdom","35 years","Females","Number","442,688",""
"2018","United Kingdom","36 years","Males","Number","436,608",""
"2018","United Kingdom","36 years","Females","Number","444,322",""
"2018","United Kingdom","37 years","Males","Number","438,477",""
"2018","United Kingdom","37 years","Females","Number","445,315",""
"2018","United Kingdom","38 years","Males","Number","430,353",""
"2018","United Kingdom","38 years","Females","Number","435,606",""
"2018","United Kingdom","39 years","Males","Number","407,642",""
"2018","United Kingdom","39 years","Females","Number","411,693",""
"2018","United Kingdom","40 years","Males","Number","390,493",""
"2018","United Kingdom","40 years","Females","Number","393,952",""
"2018","United Kingdom","41 years","Males","Number","390,157",""
"2018","United Kingdom","41 years","Females","Number","395,197",""
"2018","United Kingdom","42 years","Males","Number","396,397",""
"2018","United Kingdom","42 years","Females","Number","403,953",""
"2018","United Kingdom","43 years","Males","Number","403,291",""
"2018","United Kingdom","43 years","Females","Number","411,485",""
"2018","United Kingdom","44 years","Males","Number","416,247",""
"2018","United Kingdom","44 years","Females","Number","424,218",""
"2018","United Kingdom","45 years","Males","Number","434,695",""
"2018","United Kingdom","45 years","Females","Number","442,502",""
"2018","United Kingdom","46 years","Males","Number","449,430",""
"2018","United Kingdom","46 years","Females","Number","460,958",""
"2018","United Kingdom","47 years","Males","Number","449,969",""
"2018","United Kingdom","47 years","Females","Number","464,048",""
"2018","United Kingdom","48 years","Males","Number","450,131",""
"2018","United Kingdom","48 years","Females","Number","464,230",""
"2018","United Kingdom","49 years","Males","Number","455,357",""
"2018","United Kingdom","49 years","Females","Number","470,193",""
"2018","United Kingdom","50 years","Males","Number","459,567",""
"2018","United Kingdom","50 years","Females","Number","472,285",""
"2018","United Kingdom","51 years","Males","Number","461,848",""
"2018","United Kingdom","51 years","Females","Number","475,465",""
"2018","United Kingdom","52 years","Males","Number","462,097",""
"2018","United Kingdom","52 years","Females","Number","478,027",""
"2018","United Kingdom","53 years","Males","Number","461,490",""
"2018","United Kingdom","53 years","Females","Number","477,147",""
"2018","United Kingdom","54 years","Males","Number","454,520",""
"2018","United Kingdom","54 years","Females","Number","469,068",""
"2018","United Kingdom","55 years","Males","Number","445,302",""
"2018","United Kingdom","55 years","Females","Number","457,713",""
"2018","United Kingdom","56 years","Males","Number","433,054",""
"2018","United Kingdom","56 years","Females","Number","444,209",""
"2018","United Kingdom","57 years","Males","Number","416,550",""
"2018","United Kingdom","57 years","Females","Number","427,685",""
"2018","United Kingdom","58 years","Males","Number","402,576",""
"2018","United Kingdom","58 years","Females","Number","414,519",""
"2018","United Kingdom","59 years","Males","Number","393,042",""
"2018","United Kingdom","59 years","Females","Number","405,400",""
"2018","United Kingdom","60 years","Males","Number","380,658",""
"2018","United Kingdom","60 years","Females","Number","393,391",""
"2018","United Kingdom","61 years","Males","Number","366,031",""
"2018","United Kingdom","61 years","Females","Number","379,078",""
"2018","United Kingdom","62 years","Males","Number","351,470",""
"2018","United Kingdom","62 years","Females","Number","365,570",""
"2018","United Kingdom","63 years","Males","Number","343,447",""
"2018","United Kingdom","63 years","Females","Number","359,539",""
"2018","United Kingdom","64 years","Males","Number","340,461",""
"2018","United Kingdom","64 years","Females","Number","357,503",""
"2018","United Kingdom","65 years","Males","Number","331,621",""
"2018","United Kingdom","65 years","Females","Number","349,875",""
"2018","United Kingdom","66 years","Males","Number","325,941",""
"2018","United Kingdom","66 years","Females","Number","345,990",""
"2018","United Kingdom","67 years","Males","Number","328,272",""
"2018","United Kingdom","67 years","Females","Number","350,339",""
"2018","United Kingdom","68 years","Males","Number","334,133",""
"2018","United Kingdom","68 years","Females","Number","357,053",""
"2018","United Kingdom","69 years","Males","Number","345,247",""
"2018","United Kingdom","69 years","Females","Number","369,717",""
"2018","United Kingdom","70 years","Males","Number","366,355",""
"2018","United Kingdom","70 years","Females","Number","393,480",""
"2018","United Kingdom","71 years","Males","Number","334,392",""
"2018","United Kingdom","71 years","Females","Number","361,146",""
"2018","United Kingdom","72 years","Males","Number","283,673",""
"2018","United Kingdom","72 years","Females","Number","309,825",""
"2018","United Kingdom","73 years","Males","Number","275,813",""
"2018","United Kingdom","73 years","Females","Number","303,490",""
"2018","United Kingdom","74 years","Males","Number","262,237",""
"2018","United Kingdom","74 years","Females","Number","292,161",""
"2018","United Kingdom","75 years","Males","Number","235,056",""
"2018","United Kingdom","75 years","Females","Number","267,226",""
"2018","United Kingdom","76 years","Males","Number","206,865",""
"2018","United Kingdom","76 years","Females","Number","239,870",""
"2018","United Kingdom","77 years","Males","Number","195,847",""
"2018","United Kingdom","77 years","Females","Number","230,161",""
"2018","United Kingdom","78 years","Males","Number","194,234",""
"2018","United Kingdom","78 years","Females","Number","230,758",""
"2018","United Kingdom","79 years","Males","Number","186,013",""
"2018","United Kingdom","79 years","Females","Number","224,086",""
"2018","United Kingdom","80 years","Males","Number","173,461",""
"2018","United Kingdom","80 years","Females","Number","213,259",""
"2018","United Kingdom","81 years","Males","Number","158,962",""
"2018","United Kingdom","81 years","Females","Number","200,729",""
"2018","United Kingdom","82 years","Males","Number","145,167",""
"2018","United Kingdom","82 years","Females","Number","187,914",""
"2018","United Kingdom","83 years","Males","Number","130,064",""
"2018","United Kingdom","83 years","Females","Number","173,291",""
"2018","United Kingdom","84 years","Males","Number","115,480",""
"2018","United Kingdom","84 years","Females","Number","159,478",""
"2018","United Kingdom","85 years","Males","Number","104,010",""
"2018","United Kingdom","85 years","Females","Number","149,451",""
"2018","United Kingdom","86 years","Males","Number","92,894",""
"2018","United Kingdom","86 years","Females","Number","139,231",""
"2018","United Kingdom","87 years","Males","Number","79,962",""
"2018","United Kingdom","87 years","Females","Number","126,692",""
"2018","United Kingdom","88 years","Males","Number","66,955",""
"2018","United Kingdom","88 years","Females","Number","111,743",""
"2018","United Kingdom","89 years","Males","Number","54,784",""
"2018","United Kingdom","89 years","Females","Number","95,781",""
"2018","United Kingdom","90 years","Males","Number","45,252",""
"2018","United Kingdom","90 years","Females","Number","81,872",""
"2018","United Kingdom","91 years","Males","Number","36,561",""
"2018","United Kingdom","91 years","Females","Number","69,939",""
"2018","United Kingdom","92 years","Males","Number","28,416",""
"2018","United Kingdom","92 years","Females","Number","58,716",""
"2018","United Kingdom","93 years","Males","Number","21,638",""
"2018","United Kingdom","93 years","Females","Number","48,581",""
"2018","United Kingdom","94 years","Males","Number","16,199",""
"2018","United Kingdom","94 years","Females","Number","39,666",""
"2018","United Kingdom","95 years","Males","Number","11,964",""
"2018","United Kingdom","95 years","Females","Number","31,911",""
"2018","United Kingdom","96 years","Males","Number","8,489",""
"2018","United Kingdom","96 years","Females","Number","24,746",""
"2018","United Kingdom","97 years","Males","Number","5,349",""
"2018","United Kingdom","97 years","Females","Number","17,279",""
"2018","United Kingdom","98 years","Males","Number","2,826",""
"2018","United Kingdom","98 years","Females","Number","10,114",""
"2018","United Kingdom","99 years","Males","Number","1,590",""
"2018","United Kingdom","99 years","Females","Number","6,306",""
"2018","United Kingdom","Open-ended age class","Males","Number","2,503",""
"2018","United Kingdom","Open-ended age class","Females","Number","11,966",""
"2018","United Kingdom","Unknown","Males","Number","0",""
"2018","United Kingdom","Unknown","Females","Number","0",""
